Indicator,Type,Description,Reference
immigrantlol.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
awsstatics.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
google-searching.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
alienlol.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
dnslog.mobi,DOMAIN,,https://401trg.pw/an-update-on-winnti
exoticlol.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
martianlol.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
awsstatics.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
microsoftsec.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
outerlol.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
sqlmapff.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
ssrsec.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
strangelol.com,DOMAIN,,https://401trg.pw/an-update-on-winnti
371acda8d719426b6a8867767260b9ce,FILE MD5,,https://401trg.pw/an-update-on-winnti
e798cfe49e6afb61f58d79a53f06d785,FILE MD5,,https://401trg.pw/an-update-on-winnti
8cf9db604b45bbf48f5d334dedf65e5b,FILE MD5,,https://401trg.pw/an-update-on-winnti
19d12c8c98c1f21810efb43edc816c83,FILE MD5,,https://401trg.pw/an-update-on-winnti
5e769c5f1a0679e997ee59f4f93840a5,FILE MD5,,https://401trg.pw/an-update-on-winnti
d5d223f0112574d8a0e9e56bc94353ba,FILE MD5,,https://401trg.pw/an-update-on-winnti
8cd778cd9b5e7201383f83e5927db6bf,FILE MD5,,https://401trg.pw/an-update-on-winnti
42693ebe598ef575834d4f82adbd6593,FILE MD5,,https://401trg.pw/an-update-on-winnti
